accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,n,model,fold,fit_seconds,best_params
0.7840159533670809,0.852635228848821,0.7144102266124346,0.7774264938349668,0.8466091696051584,0.860908145851428,2652,425,983,2459,6519,decision_tree,2,12.577367699996103,"{""model__min_samples_leaf"": 5, ""model__max_depth"": 10, ""model__class_weight"": ""balanced""}"
0.7919607241485118,0.8708644610458911,0.7114210985178727,0.783109404990403,0.8645251864925405,0.8823560103163706,2714,363,993,2448,6518,decision_tree,3,22.531243000004906,"{""model__min_samples_leaf"": 10, ""model__max_depth"": 10, ""model__class_weight"": ""balanced""}"
0.7881251917766185,0.9113418530351438,0.6631793083405987,0.767703952901598,0.864264749091822,0.8879681430016323,2855,222,1159,2282,6518,decision_tree,4,20.369887299995753,"{""model__min_samples_leaf"": 5, ""model__max_depth"": 5, ""model__class_weight"": ""balanced""}"
0.7817484662576687,0.9159802306425041,0.6459483009003776,0.7576222108669732,0.8633857055112977,0.8896169688791913,2873,204,1219,2224,6520,decision_tree,5,13.294940000007045,"{""model__min_samples_leaf"": 5, ""model__max_depth"": 5, ""model__class_weight"": null}"
0.8074562749309604,0.8692567567567567,0.7477477477477478,0.8039368848617403,0.8857481665254212,0.9154460492964669,2690,387,868,2573,6518,random_forest,1,381.957968600007,"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 5, ""model__max_features"": ""sqrt"", ""model__max_depth"": null, ""model__class_weight"": null}"
0.8048780487804879,0.8692988427501702,0.7420104590354445,0.8006269592476489,0.881279202767171,0.9124530486070781,2693,384,888,2554,6519,random_forest,2,465.1800549000036,"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 5, ""model__max_features"": ""log2"", ""model__max_depth"": 20, ""model__class_weight"": ""balanced""}"
0.8085302239950906,0.8805970149253731,0.7372856727695437,0.8025941157861436,0.8878225516027314,0.9148235637696044,2733,344,904,2537,6518,random_forest,3,358.26737539999885,"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 5, ""model__max_features"": ""log2"", ""model__max_depth"": 30, ""model__class_weight"": ""balanced""}"
0.8092973304694692,0.875085324232082,0.7451322290031968,0.8048971903939727,0.8892673534658292,0.9164891951268052,2711,366,877,2564,6518,random_forest,4,260.3654577999987,"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 5, ""model__max_features"": ""sqrt"", ""model__max_depth"": null, ""model__class_weight"": null}"
0.810122699386503,0.8774392331393358,0.744408945686901,0.8054682589566311,0.8885361876989961,0.9181627132366272,2719,358,880,2563,6520,random_forest,5,294.8207243999932,"{""model__n_estimators"": 600, ""model__min_samples_leaf"": 5, ""model__max_features"": ""sqrt"", ""model__max_depth"": null, ""model__class_weight"": ""balanced""}"
0.8109849647131022,0.8710110849848841,0.7535600116245278,0.8080398878155188,0.8867239921733722,0.9169718067049363,2693,384,848,2593,6518,xgboost,1,62.90140079999401,"{""model__subsample"": 0.8, ""model__n_estimators"": 400, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 1.0}"
0.805798435342844,0.8700680272108844,0.7431725740848344,0.8016295832027578,0.8826154273510972,0.9133945231546012,2695,382,884,2558,6519,xgboost,2,49.516330499987816,"{""model__subsample"": 1.0, ""model__n_estimators"": 400, ""model__min_child_weight"": 1, ""model__max_depth"": 7, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 0.8}"
0.803774163853943,0.873015873015873,0.7352513804126707,0.7982331598043856,0.8879105761385317,0.9157926328741868,2709,368,911,2530,6518,xgboost,3,49.092457799997646,"{""model__subsample"": 0.8, ""model__n_estimators"": 200, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}"
0.8117520711874808,0.8851774530271399,0.7393199651264167,0.8057007125890736,0.8902661769404617,0.917633320392242,2747,330,897,2544,6518,xgboost,4,60.06154059999972,"{""model__subsample"": 0.8, ""model__n_estimators"": 200, ""model__min_child_weight"": 1, ""model__max_depth"": 7, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 0.8}"
0.8096625766871166,0.870457604306864,0.751379610804531,0.8065471551052221,0.8901940899052314,0.9192879307256633,2692,385,856,2587,6520,xgboost,5,70.21280030001071,"{""model__subsample"": 0.8, ""model__n_estimators"": 600, ""model__min_child_weight"": 1, ""model__max_depth"": 5, ""model__learning_rate"": 0.05, ""model__colsample_bytree"": 0.8}"
0.8082233814053391,0.8709786657636303,0.7474571345539087,0.8045042227087895,0.8871723317350081,0.91739301677021,2696,381,869,2572,6518,lightgbm,1,72.78046549999272,"{""model__subsample"": 0.8, ""model__num_leaves"": 15, ""model__n_estimators"": 600, ""model__min_child_samples"": 40, ""model__max_depth"": 20, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 0.8}"
0.8076392084675563,0.8721088435374149,0.7449157466589192,0.8035098715136321,0.8826484741716438,0.9126082774266641,2701,376,878,2564,6519,lightgbm,2,71.94507839999278,"{""model__subsample"": 1.0, ""model__num_leaves"": 15, ""model__n_estimators"": 600, ""model__min_child_samples"": 20, ""model__max_depth"": -1, ""model__learning_rate"": 0.05, ""model__colsample_bytree"": 0.8}"
0.8068425897514575,0.8764665286404417,0.7381575123510608,0.8013882315822685,0.8879231375797995,0.9159120643145047,2719,358,901,2540,6518,lightgbm,3,69.57291950000217,"{""model__subsample"": 0.8, ""model__num_leaves"": 31, ""model__n_estimators"": 600, ""model__min_child_samples"": 40, ""model__max_depth"": 20, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 0.8}"
0.8057686406873275,0.8759073625993778,0.7364138331880268,0.8001263024944743,0.8894890676265497,0.9170374772132427,2718,359,907,2534,6518,lightgbm,4,66.41396320000058,"{""model__subsample"": 1.0, ""model__num_leaves"": 15, ""model__n_estimators"": 600, ""model__min_child_samples"": 20, ""model__max_depth"": 20, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 0.8}"
0.8107361963190184,0.8815198618307427,0.7412140575079872,0.8053013568949196,0.8906860613410601,0.918987806421559,2734,343,891,2552,6520,lightgbm,5,46.727160800001,"{""model__subsample"": 1.0, ""model__num_leaves"": 63, ""model__n_estimators"": 200, ""model__min_child_samples"": 20, ""model__max_depth"": 10, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 1.0}"
