model,fold,feature,permutation_f1_mean,permutation_f1_sd
lightgbm,4,early_assessment_attempts,3.965037384523473e-05,0.0006890483446865825
lightgbm,4,early_assessments_available,0.0006767775165287482,0.0014689797258551358
lightgbm,4,assessment_submission_rate,0.04605905679579605,0.0019587663684137607
lightgbm,5,module_presentation_length,0.007062803836845655,0.0009859689043477666
lightgbm,5,boundary_day,0.0011567347188535027,0.0006743358631138272
lightgbm,5,total_clicks,0.0015757626399104606,0.0018227399912840523
lightgbm,5,active_vle_days,0.0012691353239802305,0.0022510142735961457
lightgbm,5,vle_event_count,0.0002823939002721709,0.0016227466744207146
lightgbm,5,distinct_vle_sites,0.0008026256875803273,0.0014154413034353683
lightgbm,5,first_vle_day,0.019025446040287542,0.0027864996599842587
lightgbm,5,last_vle_day,0.03826062364327635,0.0030350769211647958
lightgbm,5,vle_span_days,0.0009990570434713964,0.0011797091240275978
lightgbm,5,early_assessments_submitted,0.0030688238692026413,0.0012524722144540605
lightgbm,5,mean_early_score,0.04859137377464519,0.003471655922439545
lightgbm,5,median_early_score,0.0023065018769429235,0.0006703436507368219
lightgbm,5,max_early_score,0.003820797941364562,0.001463300920624813
lightgbm,5,mean_submission_delay,0.014045429814472776,0.002146550420821859
lightgbm,5,late_early_submissions,0.004023282440519915,0.0007517864537397869
lightgbm,5,early_assessment_attempts,0.0,0.0
lightgbm,5,early_assessments_available,0.005197580375064304,0.0014854890322447373
lightgbm,5,assessment_submission_rate,0.16174621398271188,0.0033973900883125983
